V , 2022-05-02 10:00:00 , 2806.14 $ , 11 , 2795.05 $ , 11.09 $
A , 2022-05-02 21:00:00 , 2866.14 $ , 18 , 2866.14 $ , 0 $
V , 2022-05-03 15:00:00 , 2822.21 $ , 17 , 2773.43 $ , 48.78 $
A , 2022-05-04 08:00:00 , 2843.47 $ , 31 , 2955.71 $ , 112.24 $
V , 2022-05-05 15:00:00 , 2742.85 $ , 243 , 1835.29 $ , 907.56 $
A , 2022-05-15 18:00:00 , 2088.56 $ , 10 , 2145.29 $ , 56.73 $
V , 2022-05-16 04:00:00 , 2071.5 $ , 24 , 1992.26 $ , 79.24 $
A , 2022-05-17 04:00:00 , 2076.48 $ , 13 , 2100.23 $ , 23.75 $
V , 2022-05-17 17:00:00 , 2057.85 $ , 4 , 2028.71 $ , 29.14 $
A , 2022-05-17 21:00:00 , 2086.75 $ , 6 , 2091.68 $ , 4.93 $
V , 2022-05-18 03:00:00 , 2039.0 $ , 44 , 1909.48 $ , 129.52 $
A , 2022-05-19 23:00:00 , 2019.55 $ , 16 , 2054.51 $ , 34.96 $
V , 2022-05-20 15:00:00 , 1960.99 $ , 42 , 1934.39 $ , 26.6 $
A , 2022-05-22 09:00:00 , 2027.56 $ , 35 , 2073.94 $ , 46.38 $
V , 2022-05-23 20:00:00 , 1999.65 $ , 31 , 1931.99 $ , 67.66 $
A , 2022-05-25 03:00:00 , 2014.2 $ , 3 , 2014.2 $ , 0 $
V , 2022-05-25 06:00:00 , 1984.83 $ , 115 , 1727.27 $ , 257.56 $
A , 2022-05-30 01:00:00 , 1845.31 $ , 63 , 1999.42 $ , 154.11 $
V , 2022-06-01 16:00:00 , 1857.27 $ , 97 , 1746.39 $ , 110.88 $
A , 2022-06-05 17:00:00 , 1824.56 $ , 31 , 1911.43 $ , 86.87 $
V , 2022-06-07 00:00:00 , 1758.79 $ , 19 , 1740.95 $ , 17.84 $
A , 2022-06-07 19:00:00 , 1846.97 $ , 8 , 1846.97 $ , 0 $
V , 2022-06-08 03:00:00 , 1779.5 $ , 29 , 1779.5 $ , 0 $
A , 2022-06-09 08:00:00 , 1816.02 $ , 4 , 1819.67 $ , 3.65 $
V , 2022-06-09 12:00:00 , 1793.98 $ , 246 , 904.25 $ , 889.73 $
A , 2022-06-19 18:00:00 , 1110.58 $ , 56 , 1184.74 $ , 74.16 $
V , 2022-06-22 02:00:00 , 1102.87 $ , 31 , 1049.31 $ , 53.56 $
A , 2022-06-23 10:00:00 , 1109.99 $ , 6 , 1118.89 $ , 8.9 $
V , 2022-06-23 16:00:00 , 1090.27 $ , 3 , 1090.27 $ , 0 $
A , 2022-06-23 19:00:00 , 1126.65 $ , 91 , 1269.72 $ , 143.07 $
V , 2022-06-27 14:00:00 , 1191.05 $ , 18 , 1171.48 $ , 19.57 $
A , 2022-06-28 08:00:00 , 1225.01 $ , 8 , 1227.81 $ , 2.8 $
